2024-06-17 20:56:55,394 INFO:Starting system metrics collection...
2024-06-17 20:56:56,395 INFO:Collected metrics: {'cpu_usage': 61.9, 'memory_usage': 16.6, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40409390, 'bytes_recv': 946126621, 'packets_sent': 234786, 'packets_recv': 676067, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:56:57,396 INFO:Collected metrics: {'cpu_usage': 14.2, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40439615, 'bytes_recv': 946130556, 'packets_sent': 234822, 'packets_recv': 676096, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:56:58,396 INFO:Collected metrics: {'cpu_usage': 15.3, 'memory_usage': 16.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40459527, 'bytes_recv': 946144846, 'packets_sent': 234846, 'packets_recv': 676130, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:56:59,397 INFO:Collected metrics: {'cpu_usage': 23.6, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40460125, 'bytes_recv': 946145022, 'packets_sent': 234849, 'packets_recv': 676131, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:00,397 INFO:Collected metrics: {'cpu_usage': 63.9, 'memory_usage': 16.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40461063, 'bytes_recv': 946145878, 'packets_sent': 234855, 'packets_recv': 676138, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:01,398 INFO:Collected metrics: {'cpu_usage': 49.8, 'memory_usage': 16.4, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40461829, 'bytes_recv': 946146878, 'packets_sent': 234861, 'packets_recv': 676146, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:02,399 INFO:Collected metrics: {'cpu_usage': 72.0, 'memory_usage': 16.7, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40461829, 'bytes_recv': 946147326, 'packets_sent': 234861, 'packets_recv': 676149, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:03,399 INFO:Collected metrics: {'cpu_usage': 70.9, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40461829, 'bytes_recv': 946147326, 'packets_sent': 234861, 'packets_recv': 676149, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:04,400 INFO:Collected metrics: {'cpu_usage': 60.1, 'memory_usage': 16.6, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40461829, 'bytes_recv': 946147326, 'packets_sent': 234861, 'packets_recv': 676149, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:05,401 INFO:Collected metrics: {'cpu_usage': 48.7, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40462725, 'bytes_recv': 946148056, 'packets_sent': 234866, 'packets_recv': 676154, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
2024-06-17 20:57:06,401 INFO:Collected metrics: {'cpu_usage': 33.1, 'memory_usage': 16.5, 'disk_usage': 23.1, 'network_info': {'bytes_sent': 40463471, 'bytes_recv': 946148358, 'packets_sent': 234872, 'packets_recv': 676157, 'errin': 0, 'errout': 0, 'dropin': 2, 'dropout': 6}}
